ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE;
0457;Márianosztra;Szobi;Pest;Pest;Közép-Magyarország;1909;
1233;Tompaládony;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;1509;
1392;Iklódbördőce;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;1200;
2082;Zánka;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;1750;
0340;Budajenő;Budakeszi;Pest;Pest;Közép-Magyarország;2848;
2503;Zsámbék;Budakeszi;Pest;Pest;Közép-Magyarország;2283;
1389;Vértesboglár;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;2121;
3312;Berhida;Várpalotai;Veszprém;Közép-Dunántúl;Dunántúl;1619;
2296;Kacorlak;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1353;
0632;Bakonypölöske;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1542;
0221;Balatonfűzfő;Balatonalmádi;Veszprém;Közép-Dunántúl;Dunántúl;1883;
2251;Monoszló;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;1803;
1136;Szakony;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1376;
2008;Kemenesszentmárton;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;1496;
2473;Pányok;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;706;
3133;Csabacsűd;Szarvasi;Békés;Dél-Alföld;Alföld és Észak;1651;
2808;Gyöngyöstarján;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;1982;
1353;Körmend;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;2004;
0346;Kétegyháza;Gyulai;Békés;Dél-Alföld;Alföld és Észak;1288;
2593;Balotaszállás;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1186;
0242;Hegyesd;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;1580;
0405;Pécel;Gödöllői;Pest;Pest;Közép-Magyarország;2270;
2738;Tatárszentgyörgy;Dabasi;Pest;Pest;Közép-Magyarország;1093;
1484;Nyírbátor;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1544;
1434;Pilisvörösvár;Pilisvörösvári;Pest;Pest;Közép-Magyarország;1963;
3376;Szászvár;Komlói;Baranya;Dél-Dunántúl;Dunántúl;1295;
1262;Sokorópátka;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1944;
0373;Bárdudvarnok;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1390;
0637;Pomáz;Szentendrei;Pest;Pest;Közép-Magyarország;2205;
3166;Mezőtárkány;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;967;
2424;Bakonybánk;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;1738;
2942;Nőtincs;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;1923;
2715;Nagyhalász;Ibrányi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1196;
0638;Tolmács;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;1906;
3418;Alsóbogát;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1010;
1179;Szank;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1324;
3032;Mezőkovácsháza;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;1506;
1604;Kunágota;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;911;
2138;Püspökhatvan;Váci;Pest;Pest;Közép-Magyarország;1730;
0548;Baranyaszentgyörgy;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;894;
2466;Pötréte;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1075;
0648;Nagyecsed;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1204;
0226;Vásárosdombó;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;1082;
2446;Mikebuda;Ceglédi;Pest;Pest;Közép-Magyarország;1591;
0857;Kétújfalu;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;1201;
0433;Mátraszőlős;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;1405;
3076;Oroszlány;Oroszlányi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;2074;
2455;Abasár;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;1937;
0267;Kántorjánosi;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;759;
0963;Görcsönydoboka;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1417;
0635;Pusztamérges;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1125;
1214;Csepreg;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;1638;
3343;Szerep;Püspökladányi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;844;
0733;Aszófő;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;2079;
1862;Karancsalja;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;1525;
1420;Rákóczifalva;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1803;
0576;Létavértes;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1111;
1667;Töltéstava;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;2307;
2559;Sümeg;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;1510;
3268;Perecse;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1900;
3084;Tiszagyulaháza;Hajdúnánási;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1617;
1167;Jánosháza;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;1533;
2462;Lovászhetény;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;1057;
2479;Kardos;Szarvasi;Békés;Dél-Alföld;Alföld és Észak;1212;
1816;Kéleshalom;Jánoshalmai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;883;
1371;Horpács;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;2043;
3213;Sérsekszőlős;Tabi;Somogy;Dél-Dunántúl;Dunántúl;1357;
0856;Csapod;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1270;
1338;Domaszék;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1515;
3363;Bugacpusztaháza;Kiskunfélegyházi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1406;
2506;Szabadszállás;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1509;
2403;Dombegyház;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;1107;
1438;Kercseliget;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;712;
2900;Nyárád;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1557;
2432;Felsőpetény;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;1698;
1891;Murga;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;1555;
1849;Garáb;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;2268;
2128;Somogyviszló;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;750;
0754;Szentlőrinckáta;Nagykátai;Pest;Pest;Közép-Magyarország;1419;
2881;Kaposgyarmat;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;2309;
3366;Lébény;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;2120;
2452;Tök;Budakeszi;Pest;Pest;Közép-Magyarország;1909;
2160;Pápasalamon;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1431;
2826;Gadács;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;769;
1592;Jákó;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1154;
0570;Pethőhenye;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1604;
2727;Csömend;Marcali;Somogy;Dél-Dunántúl;Dunántúl;928;
3295;Elek;Gyulai;Békés;Dél-Alföld;Alföld és Észak;1128;
0932;Jágónak;Dombóvári;Tolna;Dél-Dunántúl;Dunántúl;998;
2023;Jákfalva;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1009;
2477;Padár;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1363;
1058;Beled;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1921;
2492;Bisse;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;1413;
2123;Homrogd;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1373;
1304;Szamosszeg;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1230;
2474;Baranyajenő;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;777;
2395;Mohács;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1493;
1908;Söjtör;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1486;
3191;Kunpeszér;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1226;
1598;Somogydöröcske;Tabi;Somogy;Dél-Dunántúl;Dunántúl;1278;
0600;Zamárdi;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;1634;
1524;Pusztamonostor;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;2027;
2439;Kiskunmajsa;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1353;
0575;Vécs;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;1586;
1745;Kokad;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;738;
1381;Tiszaföldvár;Kunszentmártoni;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1465;
0916;Belezna;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1360;
2730;Potyond;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1742;
2891;Egerág;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1640;
1489;Tomor;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1347;
2704;Becskeháza;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;786;
3387;Egeralja;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;1566;
1933;Veszprémgalsa;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;1415;
0250;Kisunyom;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;1763;
2486;Batyk;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;1184;
0755;Rádóckölked;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;2006;
0837;Jászszentlászló;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1446;
0961;Pári;Tamási;Tolna;Dél-Dunántúl;Dunántúl;967;
0571;Harasztifalu;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1521;
0979;Nézsa;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;1901;
1968;Újlengyel;Dabasi;Pest;Pest;Közép-Magyarország;1926;
0696;Katádfa;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;946;
3071;Jászalsószentgyörgy;Jászapáti;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1556;
2948;Kerkabarabás;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;1029;
3169;Csetény;Zirci;Veszprém;Közép-Dunántúl;Dunántúl;1760;
0607;Keménfa;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1319;
0503;Gyula;Gyulai;Békés;Dél-Alföld;Alföld és Észak;1822;
1955;Gyügye;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1283;
1033;Ásotthalom;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1220;
0925;Nyírtét;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1270;
1941;Pécs;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1798;
1156;Alsónyék;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;1288;
1854;Somogyszob;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;1587;
3362;Fülöpjakab;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1780;
2662;Katafa;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1779;
3162;Kunsziget;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;2314;
0337;Tiszapüspöki;Törökszentmiklósi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1088;
1435;Kékcse;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1006;
3037;Tiszatarján;Mezőcsáti;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1229;
3287;Csót;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1653;
1561;Zalkod;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;760;
1074;Kistótfalu;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;1530;
2556;Hárskút;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;2035;
1492;Újszentiván;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1734;
2590;Tömörkény;Csongrádi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1162;
0583;Balatonalmádi;Balatonalmádi;Veszprém;Közép-Dunántúl;Dunántúl;2065;
3290;Kehidakustány;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;1169;
3201;Iszkaszentgyörgy;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;2228;
3226;Kilimán;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1154;
1184;Kétbodony;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;1695;
0915;Drávakeresztúr;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;774;
1030;Vasboldogasszony;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1692;
1040;Németbánya;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1267;
2898;Ura;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1142;
2787;Abony;Ceglédi;Pest;Pest;Közép-Magyarország;1545;
0756;Garé;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;929;
1705;Zalavég;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;1367;
2239;Csönge;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;1272;
2820;Ligetfalva;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;962;
0842;Napkor;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1432;
1373;Zalavár;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;1179;
0975;Kisszekeres;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1077;
2435;Újszalonta;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;769;
1612;Borsodgeszt;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1374;
2388;Sonkád;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;951;
0751;Domoszló;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;2031;
0908;Gelsesziget;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1475;
0934;Kiskőrös;Kiskőrösi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1486;
2350;Piskó;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;469;
3406;Ormosbánya;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1012;
3382;Neszmély;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;1897;
2831;Bábonymegyer;Tabi;Somogy;Dél-Dunántúl;Dunántúl;1195;
3398;Muraszemenye;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;1100;
0247;Csombárd;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1570;
1787;Lesencetomaj;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;1167;
2264;Felgyő;Csongrádi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1479;
1050;Bodrog;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1484;
0533;Csobád;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1459;
2088;Hosszúpereszteg;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;1348;
1219;Romhány;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;1637;
2051;Sárazsadány;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1045;
2342;Hantos;Sárbogárdi;Fejér;Közép-Dunántúl;Dunántúl;1897;
3338;Acsalag;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1696;
1072;Edelény;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1501;
2257;Csonkamindszent;Szentlőrinci;Baranya;Dél-Dunántúl;Dunántúl;1230;
1824;Taktaharkány;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1244;
2603;Kékkút;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;2694;
1234;Csengőd;Kiskőrösi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1208;
1465;Nagynyárád;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1395;
3211;Ötvöskónyi;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;860;
2726;Tisztaberek;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;655;
3104;Tépe;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1362;
0964;Vörs;Marcali;Somogy;Dél-Dunántúl;Dunántúl;922;
1327;Szigethalom;Szigetszentmiklósi;Pest;Pest;Közép-Magyarország;1894;
1481;Bonyhádvarasd;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;1155;
1060;Csurgónagymarton;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;949;
2912;Várong;Dombóvári;Tolna;Dél-Dunántúl;Dunántúl;790;
2290;Béb;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1810;
1020;Tiszarád;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;693;
0618;Nyíradony;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1232;
2464;Csesznek;Zirci;Veszprém;Közép-Dunántúl;Dunántúl;1763;
0492;Karcag;Karcagi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1527;
0826;Nagygyimót;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;1649;
2081;Sárszentlőrinc;Paksi;Tolna;Dél-Dunántúl;Dunántúl;1080;
1923;Levél;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1312;
1504;Babót;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1736;
2391;Óbudavár;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;1431;
1796;Gyalóka;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;758;
3360;Újtelek;Kalocsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;962;
0283;Nemeskocs;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;1911;
0758;Felsőregmec;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;519;
1749;Zselicszentpál;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1660;
0665;Hejőbába;Tiszaújvárosi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1233;
2986;Nagyrákos;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1576;
0880;Siklósnagyfalu;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;768;
2591;Kisújszállás;Karcagi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1555;
0864;Kálló;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;1007;
2941;Csaroda;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1409;
0982;Pilis;Monori;Pest;Pest;Közép-Magyarország;1682;
2491;Szob;Szobi;Pest;Pest;Közép-Magyarország;1893;
2253;Kerekegyháza;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1615;
0501;Vének;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1811;
2000;Csákvár;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;2070;
0484;Terény;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;1352;
0330;Iklad;Aszódi;Pest;Pest;Közép-Magyarország;2076;
1958;Pincehely;Tamási;Tolna;Dél-Dunántúl;Dunántúl;1349;
3415;Kistarcsa;Gödöllői;Pest;Pest;Közép-Magyarország;2405;
0410;Dusnok;Kalocsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1270;
2734;Nógrádszakál;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;714;
2756;Zalaszombatfa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;794;
0580;Gávavencsellő;Ibrányi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1174;
0886;Bátaszék;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;1558;
0657;Mezőszentgyörgy;Enyingi;Fejér;Közép-Dunántúl;Dunántúl;1362;
1048;Bicske;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;1989;
1024;Hevesaranyos;Egri;Heves;Észak-Magyarország;Alföld és Észak;1014;
2285;Jánoshida;Jászapáti;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;1314;
2995;Káld;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;2011;
2793;Himesháza;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;1321;
1095;Nikla;Marcali;Somogy;Dél-Dunántúl;Dunántúl;713;
3399;Farád;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1796;
3384;Balatonrendes;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;1437;
0901;Monaj;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1114;
1103;Tolnanémedi;Tamási;Tolna;Dél-Dunántúl;Dunántúl;1544;
0209;Gutorfölde;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1498;
2073;Sajóvámos;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1842;
0893;Vámosoroszi;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;1094;
0669;Kazincbarcika;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1982;
0332;Ipolytarnóc;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;1165;
1348;Erdőkertes;Gödöllői;Pest;Pest;Közép-Magyarország;1888;
2234;Kemence;Szobi;Pest;Pest;Közép-Magyarország;1526;
1288;Nyékládháza;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1944;
3249;Kondó;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1713;
0699;Kővágótöttös;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1242;
1128;Katymár;Bácsalmási;Bács-Kiskun;Dél-Alföld;Alföld és Észak;958;
0781;Kisbodak;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1315;
0471;Nagyar;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;921;
0252;Várfölde;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;1104;
3403;Szaporca;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;916;
0821;Alsótelekes;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1010;
1191;Balatonőszöd;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;1361;
2471;Szilvás;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;1087;
1038;Bejcgyertyános;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;1668;
2507;Somogyhatvan;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;772;
0325;Földes;Püspökladányi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;1444;
1111;Szuhakálló;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1465;
2373;Bodroghalom;Cigándi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1322;
2658;Rajka;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;419;
2348;Pásztori;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1471;
1672;Hedrehely;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;767;
1417;Bánd;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;2487;
0911;Tiszaeszlár;Tiszavasvári;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;915;
3240;Magyarnándor;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;1655;
1066;Városföld;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;2165;
3412;Rudolftelep;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1364;
2461;Tapsony;Marcali;Somogy;Dél-Dunántúl;Dunántúl;1129;
1122;Hangács;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1321;
2666;Kiszombor;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;1539;
2049;Eger;Egri;Heves;Észak-Magyarország;Alföld és Észak;2054;
1045;Dunasziget;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1171;
2260;Magyarszék;Komlói;Baranya;Dél-Dunántúl;Dunántúl;1462;
0290;Magyarszentmiklós;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;1615;
1232;Györköny;Paksi;Tolna;Dél-Dunántúl;Dunántúl;2003;
2499;Tázlár;Kiskőrösi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;1033;
2227;Bakóca;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;863;
1681;Szedres;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;1479;
2896;Somogyjád;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;1470;
3435;Károlyháza;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1817;
1708;Penészlek;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;895;
3050;Karos;Cigándi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1150;
2100;Tordas;Martonvásári;Fejér;Közép-Dunántúl;Dunántúl;2207;
3021;Hegyhátsál;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;1614;
2782;Káva;Monori;Pest;Pest;Közép-Magyarország;1972;
